fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,wine_type,target
7.9,0.52,0.26,1.9,0.079,42.0,140.0,0.9964,3.23,0.5919276143489988,9.905361828294177,red,2
7.0,0.42,0.19,2.3,0.071,18.0,36.0,0.99476,3.39,0.593692084583666,11.17879580062826,red,2
8.2,0.5,0.35,2.9,0.077,21.0,127.0,0.9976,3.23,0.6647637524505963,9.517727354001643,red,2
7.1,0.16,0.25,1.3,0.034,28.0,123.0,0.9915,3.27,0.5792040736447369,11.664531255798146,white,3
6.8,0.32,0.3,1.0,0.049,22.0,113.0,0.99289,3.24,0.612943792281526,10.43926077729115,white,2
8.6,0.16,0.49,7.3,0.043,9.0,63.0,0.9953,3.13,0.6357309112034824,10.832581183898006,white,3
6.1,0.17,0.42,15.1,0.033,28.0,124.0,0.99684,2.87,0.5851090421649602,9.65006880060046,white,2
6.4,0.22,0.32,7.9,0.029,34.0,124.0,0.9948,3.4,0.4657028743907009,10.446496071615785,white,2
6.8,0.21,0.36,18.1,0.046,32.0,133.0,1.0,3.27,0.5122524114035738,9.125333482495433,white,2
6.1,0.25,0.48,15.8,0.052,25.0,94.0,0.99782,3.07,0.5385995497253496,9.570100526156633,white,3
8.6,0.42,0.39,1.8,0.068,6.0,12.0,0.99516,3.35,0.7607776181860556,12.01200351658898,red,5
7.9,0.69,0.21,2.1,0.08,33.0,141.0,0.9962,3.25,0.5895603306706406,10.416476555548448,red,2
9.5,0.78,0.22,1.9,0.077,6.0,32.0,0.9988,3.26,0.6088931186045258,10.71650113374377,red,3
5.6,0.12,0.26,4.3,0.038,18.0,97.0,0.99477,3.36,0.47626381002872736,9.346252558017472,white,2
6.6,0.29,0.44,9.0,0.053,62.0,178.0,0.99685,3.02,0.5145289338808938,9.102155374330973,white,2
6.9,0.4,0.42,6.2,0.066,41.0,176.0,0.99552,3.12,0.5438247732755923,9.587585813817883,white,2
9.2,0.755,0.18,2.2,0.148,10.0,103.0,0.9969,2.87,1.4173851219369247,10.343963766437614,red,3
6.7,0.24,0.32,9.0,0.023,20.0,109.0,0.99262,3.34,0.40540944350006974,12.976784946727154,white,3
7.1,0.31,0.3,2.2,0.053,36.0,127.0,0.9965,2.94,1.6868166463412189,9.661162740438957,red,2
7.5,0.31,0.51,14.8,0.039,62.0,204.0,0.9982,3.06,0.6419906044910717,9.759185936375946,white,2
6.8,0.45,0.3,11.8,0.094,23.0,97.0,0.997,3.09,0.4765686783401464,10.024524875642182,white,2
7.3,0.25,0.42,14.2,0.041,57.0,182.0,0.9996,3.29,0.8106390040140338,9.349211061870824,white,4
10.9,0.37,0.58,4.0,0.071,17.0,65.0,0.99935,3.22,0.8228717818099496,10.386775232291967,red,2
7.3,0.21,0.21,1.6,0.046,35.0,133.0,0.99466,3.38,0.5058141998406381,10.328570640683678,white,3
6.2,0.43,0.22,1.8,0.078,21.0,56.0,0.99633,3.52,0.6376744325081236,9.762858472940211,red,3
6.8,0.19,0.4,9.85,0.055,41.0,103.0,0.99532,2.98,0.6024180556619225,10.690112935186209,white,3
9.3,0.61,0.26,3.4,0.09,25.0,87.0,0.99975,3.24,0.6781939346676121,9.90343271610637,red,2
8.9,0.43,0.45,1.9,0.052,6.0,16.0,0.9948,3.35,0.7058581450915218,12.720360581830114,red,3
7.1,0.34,0.49,1.5,0.027,26.0,126.0,0.99,3.3,0.3799221697345661,12.341396452344341,white,4
7.2,0.26,0.44,7.1,0.027,25.0,126.0,0.993,3.02,0.3798037321790304,11.462995114938423,white,5
7.1,0.25,0.39,2.1,0.036,30.0,124.0,0.9908,3.28,0.48574135985211536,12.479397223827098,white,5
8.1,0.56,0.28,1.7,0.368,16.0,56.0,0.9968,3.11,1.3324198206375644,9.608379157239815,red,2
7.5,0.24,0.31,13.1,0.05,26.0,180.0,0.99884,3.05,0.5895818689068659,9.369930364650552,white,3
7.9,0.28,0.32,3.6,0.038,9.0,76.0,0.992,3.05,0.3327682643901714,11.864204882467627,white,1
8.4,0.18,0.42,5.1,0.036,7.0,77.0,0.9939,3.16,0.5499734197582834,12.120755636023375,white,2
6.8,0.23,0.32,8.6,0.046,47.0,159.0,0.99452,3.08,0.5652689305364368,10.93302661304109,white,3
5.4,0.17,0.27,2.7,0.049,28.0,104.0,0.99224,3.46,0.5889630598357333,10.521172631717524,white,3
6.9,0.22,0.31,6.3,0.029,41.0,131.0,0.99326,3.08,0.507362712967008,11.178260627056723,white,3
6.0,0.14,0.37,1.2,0.032,63.0,148.0,0.99185,3.32,0.4919950751760963,11.374063960565236,white,2
7.9,0.65,0.01,2.5,0.078,17.0,38.0,0.9963,3.34,0.791704324525948,11.695251411254151,red,4
12.0,0.28,0.49,1.9,0.074,10.0,21.0,0.9976,2.98,0.7212907905607736,10.307617485070452,red,4
7.8,0.91,0.07,1.9,0.058,22.0,47.0,0.99525,3.51,0.4515936162927183,11.060629739332963,red,3
6.4,0.24,0.28,11.5,0.05,34.0,163.0,0.9969,3.31,0.48052440593087836,9.836598240153311,white,2
7.6,0.31,0.52,13.2,0.042,61.0,148.0,0.99839,2.98,0.5135406122735351,9.364593685746081,white,3
9.5,0.885,0.27,2.3,0.084,31.0,145.0,0.9978,3.24,0.5911074168349116,9.750882500064076,red,2
6.1,0.22,0.49,1.5,0.051,18.0,87.0,0.9928,3.3,0.5359302900874564,9.851348732508804,white,2
6.6,0.63,0.0,4.3,0.093,51.0,77.5,0.99558,3.2,0.5036726639008506,9.757739361879649,red,2
7.0,0.24,0.35,1.0,0.032,42.0,104.0,0.98988,3.16,0.42637622642037964,11.96402184189104,white,4
6.3,0.39,0.16,1.4,0.08,11.0,23.0,0.9955,3.34,0.604064339969302,9.519306642869934,red,2
7.0,0.22,0.26,1.1,0.037,20.0,71.0,0.9902,3.1,0.4528736194745266,11.921368318443847,white,3
6.9,0.22,0.32,9.3,0.04,22.0,110.0,0.9958,3.34,0.5933115782212388,11.025187770521612,white,4
7.1,0.2,0.31,6.85,0.053,32.0,211.0,0.99587,3.31,0.6387680483862994,10.651045911736178,white,3
8.4,0.23,0.32,1.3,0.048,59.0,113.0,0.99178,3.1,0.601892735705532,11.318080092228824,white,3
6.6,0.18,0.35,1.5,0.049,49.0,141.0,0.9934,3.43,0.9255834455239252,10.54752362691663,white,4
8.3,0.53,0.0,1.4,0.07,6.0,14.0,0.99593,3.25,0.7094820292626477,10.386132889904601,red,3
8.6,0.31,0.3,0.9,0.045,16.0,109.0,0.99249,2.95,0.43825572459997125,10.387913487846859,white,2
7.3,0.23,0.37,1.9,0.041,51.0,165.0,0.9908,3.26,0.43644284954343254,12.574802011339086,white,5
7.9,0.51,0.34,2.6,0.049,13.0,135.0,0.99335,3.09,0.5810920051943476,10.23884539695954,white,2
6.6,0.5,0.26,11.3,0.029,32.0,110.0,0.99302,3.27,0.8312613109178466,13.416877857705002,white,5
8.0,0.25,0.35,1.1,0.054,13.0,136.0,0.99366,3.08,0.6159046498896571,9.758034258100508,white,2
6.3,0.41,0.33,4.7,0.023,28.0,110.0,0.991,3.3,0.47806892246780797,12.70693108584915,white,4
6.8,0.21,0.49,14.5,0.06,50.0,170.0,0.9991,3.55,0.4860349007075145,10.3495806522882,white,3
7.7,0.61,0.18,2.4,0.083,6.0,20.0,0.9963,3.29,0.6660327376395865,10.526311361945833,red,3
7.4,0.18,0.34,2.7,0.03,30.0,107.0,0.992,2.97,0.5697983317530546,11.298314590214229,white,3
6.8,0.26,0.48,6.2,0.049,55.0,182.0,0.99582,3.21,0.508276164023702,9.679420677600648,white,3
6.8,0.37,0.47,11.2,0.071,44.0,136.0,0.9968,2.98,0.8999344091330866,9.5205085114866,white,2
9.3,0.41,0.39,2.2,0.064,12.0,31.0,0.9984,3.26,0.7049338911833629,10.6995963224116,red,2
7.1,0.37,0.3,6.2,0.04,49.0,139.0,0.99021,3.17,0.33744373724482113,14.137732283969168,white,3
8.2,0.2,0.49,3.5,0.057,14.0,108.0,0.9928,3.19,0.41784332781233324,12.044279469999038,white,3
6.1,0.24,0.26,1.7,0.033,61.0,134.0,0.9903,3.19,0.823754310954819,12.202865953818327,white,4
7.0,0.12,0.19,4.9,0.055,27.0,127.0,0.9953,3.29,0.4414308910074282,9.638856315592381,white,2
7.5,0.28,0.41,1.3,0.044,11.0,126.0,0.99293,3.28,0.4848996032617721,10.700234911299695,white,2
6.8,0.16,0.4,2.3,0.037,18.0,102.0,0.9923,3.49,0.47287324054573554,11.76428032192531,white,4
4.5,0.19,0.21,0.95,0.033,89.0,159.0,0.99332,3.34,0.4718954378813374,8.375882536660795,white,2
6.1,0.3,0.56,2.7,0.046,46.0,184.0,0.9924,3.31,0.6255362596446935,11.370646349901278,white,3
5.4,0.58,0.08,1.9,0.059,20.0,31.0,0.99484,3.5,0.6798515566897695,10.369150222924254,red,3
6.8,0.3,0.29,6.2,0.025,29.0,95.0,0.99071,3.03,0.3575085904941683,13.166722770540762,white,4
6.0,0.37,0.32,1.0,0.053,31.0,218.5,0.9924,3.29,0.7424946920584261,10.120694995499912,white,3
6.6,0.24,0.29,2.0,0.023,19.0,86.0,0.99,3.25,0.48488899114770795,12.64016043769452,white,3
7.8,0.6,0.14,2.4,0.086,3.0,15.0,0.9975,3.42,0.6843110237689429,11.127518778100137,red,3
7.6,0.2,0.39,2.6,0.044,30.0,180.0,0.9941,3.46,0.542065191039006,11.04590222657972,white,4
6.4,0.33,0.28,4.0,0.04,24.0,81.0,0.9903,3.26,0.6439120959055081,13.03051171873816,white,4
6.4,0.12,0.49,6.4,0.042,49.0,161.0,0.9945,3.34,0.4924508550274519,10.660717896993521,white,3
9.1,0.25,0.34,2.0,0.071,45.0,67.0,0.99769,3.44,0.8709430969242178,10.54459647077001,red,4
5.8,0.22,0.25,1.5,0.024,21.0,109.0,0.99234,3.37,0.6140773140719364,10.686228596993807,white,3
7.1,0.33,0.3,3.3,0.034,30.0,102.0,0.9912,3.08,0.36516348387937897,12.543532742966155,white,4
6.1,0.24,0.3,1.5,0.045,22.0,61.0,0.992,3.31,0.5829225600336986,10.724724869285753,white,2
6.4,0.42,0.19,9.3,0.043,28.0,145.0,0.99433,3.23,0.5682559072812636,11.435282725362937,white,2
7.0,0.39,0.21,10.7,0.098,13.0,91.0,0.99657,3.03,0.5259389294014142,9.635836151200762,white,2
10.1,0.38,0.5,2.4,0.104,6.0,13.0,0.99643,3.22,0.6668858608250009,11.901290326229516,red,4
6.0,0.29,0.27,2.3,0.044,20.0,117.0,0.9895,3.31,0.4434658849685878,13.025377420635927,white,4
8.4,0.22,0.3,1.3,0.038,45.0,122.0,0.99178,3.13,0.5865909440547139,10.99506951723476,white,4
7.2,0.61,0.08,4.0,0.082,26.0,108.0,0.99641,3.25,0.5812800310592717,9.636692847673675,red,2
6.4,0.16,0.37,1.5,0.037,27.0,109.0,0.99345,3.38,0.5380404054757517,10.15282612653178,white,3
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,2.0165285520873644,10.29367505507205,red,3
6.7,0.46,0.18,2.4,0.034,25.0,98.0,0.9896,3.08,0.48671284693951117,12.8971229686084,white,4
7.9,0.49,0.32,1.9,0.082,17.0,144.0,0.9968,3.2,0.6333637169578963,9.709038378487989,red,2
6.7,0.2,0.3,1.4,0.025,17.0,76.0,0.99104,3.11,0.49501624241837106,11.118050392462614,white,3
8.1,0.31,0.36,8.2,0.028,29.0,142.0,0.9925,3.01,0.37164236866020944,13.270270833358508,white,4
8.0,0.45,0.23,2.2,0.094,16.0,29.0,0.9962,3.21,0.5187610880333525,10.511738917008287,red,3
10.5,0.36,0.47,2.2,0.074,9.0,23.0,0.99638,3.23,0.8184833645962938,12.31253260635793,red,3
10.6,0.42,0.48,2.7,0.065,5.0,18.0,0.9972,3.21,0.9378481915940011,11.613356658281202,red,3
5.1,0.23,0.18,1.0,0.053,13.0,99.0,0.98956,3.22,0.4157266420027921,11.817987409293497,white,2
13.0,0.47,0.49,4.3,0.085,6.0,47.0,1.0021,3.3,0.7325488867941277,12.917259920142106,red,3
7.0,0.26,0.26,10.8,0.039,37.0,184.0,0.99787,3.47,0.6456764378441789,10.477255385604078,white,4
6.0,0.29,0.21,1.3,0.055,42.0,168.0,0.9914,3.32,0.5008333240063587,11.49090388611427,white,3
6.5,0.52,0.11,1.8,0.073,13.0,38.0,0.9955,3.34,0.5452161096893524,9.692881709728097,red,2
5.5,0.62,0.33,1.7,0.037,24.0,118.0,0.98758,3.15,0.45124886940631515,13.884586388106685,white,3
6.4,0.5,0.2,2.4,0.059,19.0,112.0,0.99314,3.18,0.43198485311467594,9.452385845151667,white,3
8.6,0.685,0.1,1.6,0.092,3.0,12.0,0.99745,3.31,0.7108569610356741,10.020458286443953,red,3
8.2,0.28,0.4,2.4,0.052,4.0,10.0,0.99356,3.33,0.7444928080191924,13.218167847464924,red,4
6.3,0.32,0.32,1.5,0.03,24.0,101.0,0.98923,3.21,0.449019056632513,13.367243410930401,white,2
7.6,0.35,0.46,14.7,0.047,33.0,151.0,0.99709,3.03,0.591490914742963,10.62242070845984,white,2
6.5,0.29,0.25,10.6,0.039,32.0,120.0,0.9962,3.31,0.4293786453398241,10.324737003282925,white,3
8.4,0.17,0.31,6.7,0.038,29.0,132.0,0.9945,3.1,0.3632747481125018,10.928918879730341,white,4
8.0,0.3,0.49,9.4,0.046,47.0,188.0,0.9964,3.14,0.5251106716811434,10.361756769966657,white,2
8.7,0.33,0.38,3.3,0.063,10.0,19.0,0.99468,3.3,0.7501529915183823,12.213618206695225,red,4
8.2,0.31,0.4,2.2,0.058,6.0,10.0,0.99536,3.31,0.7179242378670327,11.55085070538159,red,4
6.4,0.22,0.38,9.1,0.044,35.0,127.0,0.99326,2.97,0.3458715656725571,11.345209304801035,white,4
7.5,0.33,0.38,8.7,0.126,49.0,199.0,0.99711,2.98,0.608266460585125,9.592343235780742,white,2
8.2,0.26,0.33,2.6,0.053,11.0,71.0,0.99402,2.89,0.5175869092729216,9.858528441356984,white,2
6.8,0.28,0.6,1.1,0.132,42.0,127.0,0.9934,3.09,0.4904541418732674,9.518539848220101,white,3
10.2,0.44,0.42,2.0,0.071,7.0,20.0,0.99566,3.14,0.8766723381538916,11.368450049115097,red,4
7.6,0.26,0.36,1.6,0.032,6.0,106.0,0.993,3.15,0.4932101368842279,10.740275470255794,white,1
6.9,0.32,0.26,8.3,0.053,32.0,180.0,0.9965,3.25,0.5511661462720661,9.442481883837344,white,3
10.2,0.44,0.88,6.2,0.049,20.0,124.0,0.9968,2.99,0.5610982519605521,10.109398473987167,white,1
8.3,0.655,0.12,2.3,0.083,15.0,113.0,0.9966,3.17,0.6941242064438177,10.01794932185715,red,2
7.9,0.25,0.34,11.4,0.04,53.0,202.0,0.99708,3.11,0.6090891436423894,9.970072387779565,white,3
6.9,0.19,0.31,19.25,0.043,38.0,167.0,0.99954,2.93,0.5868858026857621,9.455724434288285,white,4
6.5,0.3,0.29,2.25,0.037,8.0,210.0,0.9937,3.19,0.7054865964084664,10.135817374915572,white,2
7.1,0.36,0.37,4.8,0.019,39.0,114.0,0.99036,3.08,0.5662780425637285,13.047852575276565,white,4
6.7,0.32,0.44,2.4,0.061,24.0,34.0,0.99484,3.29,0.8951900587978321,11.872320831845125,red,4
6.2,0.39,0.43,2.0,0.071,14.0,24.0,0.99428,3.45,0.9102731954947604,11.315663736679008,red,4
6.8,0.37,0.51,11.8,0.044,62.0,163.0,0.9976,3.19,0.48209748952548875,8.942932049220639,white,2
6.3,0.26,0.42,7.1,0.045,62.0,209.0,0.99544,3.2,0.5825820637155015,9.724345341672306,white,3
8.2,0.3,0.44,12.4,0.043,52.0,154.0,0.99452,3.04,0.36562164855631507,12.447601089113066,white,3
6.6,0.735,0.02,7.9,0.122,68.0,124.0,0.9994,3.47,0.5572891454173131,10.165213981052496,red,2
7.3,0.38,0.23,6.5,0.05,18.0,102.0,0.99304,3.1,0.6034945899514762,11.509468395669856,white,1
8.7,0.82,0.02,1.2,0.07,36.0,48.0,0.9952,3.2,0.660208127945091,10.08391424350468,red,2
10.4,0.24,0.49,1.8,0.075,6.0,20.0,0.9977,3.18,1.128530473469605,11.369898552523468,red,3
7.5,0.42,0.19,6.9,0.041,62.0,150.0,0.99508,3.23,0.45157490220289265,10.43310522319658,white,3
5.8,0.19,0.25,10.8,0.042,33.0,124.0,0.99646,3.22,0.47684285467287124,9.485295313431912,white,3
9.1,0.34,0.42,1.8,0.058,9.0,18.0,0.99392,3.18,0.59716254342618,11.86379916355602,red,2
8.1,0.87,0.0,2.2,0.084,10.0,31.0,0.99656,3.25,0.5309267973435696,10.273247047788013,red,2
7.1,0.53,0.07,1.7,0.071,15.0,24.0,0.9951,3.29,0.7069018882647506,11.195876184240204,red,3
6.8,0.28,0.44,9.3,0.031,35.0,137.0,0.9946,3.16,0.4503249764277209,10.74389873787597,white,3
7.5,0.23,0.68,11.0,0.047,37.0,133.0,0.9978,2.99,0.42846235623834,8.874873862089853,white,2
6.3,0.25,0.44,1.7,0.024,36.0,116.0,0.98935,3.18,0.42438221386571484,12.816996711496671,white,3
7.3,0.26,0.49,5.0,0.028,32.0,107.0,0.9936,3.24,0.5821028707086351,11.179531243368839,white,3
4.7,0.67,0.09,1.0,0.02,5.0,9.0,0.98722,3.3,0.36965442226793593,14.11815092090407,white,2
6.2,0.25,0.38,7.9,0.045,54.0,208.0,0.99572,3.17,0.5328610117804452,9.46120694062369,white,2
6.1,0.17,0.21,1.9,0.09,44.0,130.0,0.99255,3.07,0.4401879068285307,9.811836226498606,white,2
7.1,0.18,0.39,14.5,0.051,48.0,156.0,0.99947,3.35,0.8431891568514561,9.259477496899674,white,2
8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6743808969936429,11.056451835245273,red,3
8.0,0.52,0.03,1.7,0.07,10.0,35.0,0.99575,3.34,0.6202449382678897,10.318726423236793,red,2
7.0,0.23,0.42,1.1,0.062,35.0,100.0,0.99318,3.04,0.42812877333013444,9.49491067428197,white,2
7.1,0.67,0.0,2.3,0.083,18.0,27.0,0.99768,3.44,0.5881593986998975,9.577594209872162,red,2
7.8,0.815,0.01,2.6,0.074,48.0,90.0,0.99621,3.38,0.6558626293766189,11.276694498350231,red,2
6.9,0.49,0.1,2.3,0.074,12.0,30.0,0.9959,3.42,0.6458954868103935,10.360405860518275,red,3
6.3,0.55,0.45,13.0,0.047,33.0,182.0,0.9974,3.2,0.5093354231490498,9.65443387972047,white,3
7.2,0.35,0.34,12.4,0.051,6.0,37.0,0.9944,3.13,0.4182249274615453,11.91410377589857,white,3
7.6,0.43,0.29,2.1,0.075,19.0,66.0,0.99718,3.4,0.6783119334126975,9.919023120559668,red,2
7.3,0.31,0.69,10.2,0.041,58.0,160.0,0.9977,3.06,0.5374696461576464,8.885525697235344,white,2
6.0,0.41,0.21,1.9,0.05,29.0,122.0,0.9928,3.42,0.5623783806221146,10.827364620395244,white,3
7.0,0.29,0.37,4.9,0.034,26.0,127.0,0.9928,3.17,0.4992351901519898,11.029573335672415,white,3
7.5,0.42,0.32,2.7,0.067,7.0,25.0,0.99628,3.24,0.4946848138668947,10.763616244888432,red,2
7.3,0.23,0.24,0.9,0.031,29.0,86.0,0.98926,2.9,0.4185432455689187,12.501038930228102,white,3
8.0,0.36,0.39,1.6,0.024,26.0,93.0,0.99116,3.15,0.5328841066045065,12.15182409685568,white,3
6.8,0.22,0.3,10.6,0.07,67.0,194.0,0.99654,2.89,0.4617632171613321,9.107895863947855,white,3
10.0,0.48,0.24,2.7,0.102,13.0,32.0,1.0,3.28,0.5570698202654011,10.410470328224857,red,3
6.9,0.28,0.28,12.2,0.042,52.0,139.0,0.99522,3.03,0.6199387013610903,10.761562431053052,white,3
5.9,0.445,0.26,1.4,0.027,23.0,109.0,0.99148,3.3,0.4088696872486684,10.79185272565827,white,3
6.3,0.22,0.3,2.0,0.05,23.0,120.0,0.99204,3.24,0.5434094842256045,10.863359895257272,white,3
6.4,0.28,0.22,12.8,0.039,51.0,150.0,0.99535,3.23,0.4825647762622397,11.10046771260027,white,3
5.9,0.27,0.29,11.4,0.036,31.0,115.0,0.9949,3.35,0.5477984865674229,10.746009297885674,white,5
7.4,0.37,0.26,9.6,0.05,33.0,134.0,0.99608,3.13,0.497459957952727,10.746865299016767,white,2
6.8,0.18,0.24,9.8,0.058,64.0,188.0,0.9952,3.13,0.5586076371347206,10.986904835906001,white,3
7.6,0.19,0.37,13.1,0.033,52.0,151.0,0.99726,3.18,0.8298374774784287,10.631658882941563,white,3
6.3,0.15,0.34,11.4,0.05,25.0,96.0,0.99754,3.21,0.5400848105416235,10.330595155507162,white,3
8.3,0.25,0.33,2.5,0.053,12.0,72.0,0.99404,2.89,0.5477293604659339,9.851206826828149,white,2
7.0,0.805,0.0,2.5,0.068,7.0,20.0,0.9969,3.48,0.601974964339571,9.785755967292623,red,2
7.7,0.63,0.08,1.9,0.076,15.0,27.0,0.9967,3.32,0.6131122186540678,9.682090853349852,red,3
7.9,0.18,0.37,3.0,0.061,25.0,178.0,0.995,3.22,0.5202613760103347,10.258097567523313,white,3
5.8,0.34,0.16,7.0,0.037,26.0,116.0,0.9949,3.46,0.5056598987673823,10.270340506190957,white,4
8.9,0.12,0.45,1.8,0.075,10.0,21.0,0.99552,3.41,0.839932053075742,12.061142004277368,red,4
8.3,0.16,0.37,7.9,0.025,38.0,107.0,0.99306,2.93,0.44066114622817043,12.27464652942279,white,3
7.3,0.18,0.29,1.2,0.044,12.0,143.0,0.9918,3.2,0.5204497897381315,11.545778351829147,white,4
6.2,0.27,0.18,1.5,0.028,20.0,111.0,0.99228,3.41,0.5586639549455028,10.199168059414554,white,2
6.9,0.54,0.26,12.7,0.049,59.0,195.0,0.99596,3.26,0.5798899711261016,10.745756220322923,white,3
8.4,0.715,0.2,2.4,0.076,10.0,38.0,0.99735,3.31,0.7043205722350818,9.611274111790408,red,2
6.8,0.35,0.32,2.4,0.048,35.0,103.0,0.9911,3.28,0.5106830207420516,12.286810178090487,white,5
6.6,0.41,0.27,10.7,0.11,20.0,103.0,0.99672,3.08,0.4917760993996956,9.160282677784233,white,3
7.6,0.63,0.03,2.0,0.08,27.0,43.0,0.99578,3.44,0.6905365558259079,11.129735983544643,red,3
